timestamp,gyroscopeX,gyroscopeY,gyroscopeZ,accelerometerX,accelerometerY,accelerometerZ,magnetometerX,magnetometerY,magnetometerZ,RC0,RC1,RC2,RC3,RC4,RC5,RC6,RC7,Motor0,Motor1,Motor2,Motor3,Motor4,Motor5,Motor6,Motor7
1457272148897,-0.24390243902439027,0.7317073170731708,-2.439024390243903,0,-0.017578125,0.984375,0,0,0,1503,1495,1496,1292,1938,1500,1500,1500,1301,1299,1281,1315,0,0,0,0
1457272148946,-0.9756097560975611,-0.48780487804878053,-1.707317073170732,0.00390625,-0.02734375,0.984375,0,0,0,1502,1495,1497,1297,1938,1500,1500,1500,1304,1304,1284,1316,0,0,0,0
1457272148995,-0.9756097560975611,0.9756097560975611,-4.390243902439025,0.00390625,0.001953125,0.982421875,0,0,0,1502,1495,1496,1300,1938,1500,1500,1500,1307,1307,1287,1319,0,0,0,0
1457272149045,2.439024390243903,0.24390243902439027,0.48780487804878053,0.013671875,-0.041015625,0.986328125,0,0,0,1502,1495,1496,1308,1938,1500,1500,1500,1313,1311,1295,1325,0,0,0,0
1457272149095,-1.2195121951219514,0.48780487804878053,3.1707317073170733,0.001953125,-0.001953125,0.994140625,0,0,0,1503,1495,1497,1317,1938,1500,1500,1500,1322,1318,1300,1332,0,0,0,0
1457272149145,-1.2195121951219514,0.24390243902439027,1.9512195121951221,0.00390625,0.001953125,0.986328125,0,0,0,1501,1495,1497,1327,1938,1500,1500,1500,1328,1326,1310,1340,0,0,0,0
1457272149195,0.24390243902439027,0.7317073170731708,-1.707317073170732,0.001953125,0.03515625,0.984375,0,0,0,1501,1495,1496,1331,1938,1500,1500,1500,1333,1327,1307,1349,0,0,0,0
1457272149245,0.24390243902439027,0,-0.24390243902439027,0.01171875,-0.01953125,0.9765625,0,0,0,1501,1495,1496,1334,1938,1500,1500,1500,1336,1330,1312,1350,0,0,0,0
1457272149298,0,0.48780487804878053,1.4634146341463417,-0.001953125,-0.037109375,0.982421875,0,0,0,1501,1495,1496,1340,1938,1500,1500,1500,1338,1336,1318,1352,0,0,0,0
1457272149346,-0.7317073170731708,0.48780487804878053,-1.9512195121951221,0.013671875,-0.080078125,0.982421875,0,0,0,1503,1495,1496,1344,1938,1500,1500,1500,1343,1337,1317,1359,0,0,0,0
1457272149396,-0.48780487804878053,-0.7317073170731708,-1.2195121951219514,0.009765625,-0.052734375,0.970703125,0,0,0,1503,1495,1496,1350,1939,1500,1500,1500,1349,1339,1321,1363,0,0,0,0
1457272149446,-1.707317073170732,0.24390243902439027,-1.4634146341463417,0.009765625,-0.087890625,0.970703125,0,0,0,1501,1496,1496,1353,1938,1500,1500,1500,1347,1349,1327,1361,0,0,0,0
1457272149496,-0.7317073170731708,-0.48780487804878053,-0.7317073170731708,0.0078125,-0.015625,0.984375,0,0,0,1502,1496,1496,1358,1938,1500,1500,1500,1357,1345,1327,1371,0,0,0,0
1457272149546,-1.707317073170732,-0.48780487804878053,-2.9268292682926833,0.017578125,0.2578125,0.982421875,0,0,0,1503,1495,1498,1365,1938,1500,1500,1500,1358,1354,1334,1374,0,0,0,0
